plate_no,rolling_date,scale,spec_long,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,fur_ex_temp,rolling_method,rolling_temp,descaling_count,work_group
PLT_1450,06JAN2023:10:37:09,양품,AB/A,미국,C,16,3300,37600,적용,2호기,1열,1180,68,1175,59,198,1175,CR(제어압연),935,10,1조
PLT_1451,06JAN2023:10:47:09,양품,NV-A,영국,C,16,3300,37600,적용,2호기,1열,1180,68,1175,59,184,1175,CR(제어압연),935,10,1조
PLT_1452,06JAN2023:11:00:52,불량,AB/A,미국,C,16,3600,31400,적용,3호기,2열,1199,67,1181,56,203,1181,CR(제어압연),936,10,1조
PLT_1453,06JAN2023:11:14:18,불량,LR-A,영국,C,17,3500,36100,적용,1호기,2열,1181,74,1176,64,221,1176,CR(제어압연),936,10,1조
PLT_1454,06JAN2023:11:20:00,불량,NV-A,영국,C,17,3500,36100,적용,1호기,2열,1181,76,1176,64,246,1176,CR(제어압연),936,10,1조
PLT_1455,06JAN2023:11:34:26,불량,AB/A,미국,C,18,3400,35200,적용,3호기,1열,1205,76,1185,45,215,1185,CR(제어압연),994,10,1조
PLT_1456,06JAN2023:11:45:54,불량,LR-A,영국,C,18,3400,35200,적용,3호기,1열,1205,76,1185,45,204,1185,CR(제어압연),994,10,1조
PLT_1457,06JAN2023:11:52:31,불량,NV-A,영국,C,18,3400,35200,적용,3호기,1열,1205,76,1185,45,199,1185,CR(제어압연),994,10,1조
PLT_1458,06JAN2023:11:59:53,양품,BV-A,프랑스,C,15,3300,36000,적용,2호기,2열,1196,60,1172,60,215,1172,CR(제어압연),932,10,1조
PLT_1459,06JAN2023:12:07:26,양품,NV-A,영국,C,15,3300,36000,적용,2호기,2열,1196,60,1172,60,208,1172,CR(제어압연),932,10,1조
PLT_1460,06JAN2023:12:14:38,불량,LR-A,영국,C,17,3500,35600,적용,1호기,1열,1198,84,1179,57,214,1179,CR(제어압연),934,10,1조
PLT_1461,06JAN2023:12:27:01,불량,NV-A,영국,C,17,3500,35600,적용,1호기,1열,1198,114,1179,57,230,1179,CR(제어압연),934,10,1조
PLT_1462,06JAN2023:12:34:01,불량,LR-A,영국,C,18,3500,31900,적용,2호기,1열,1202,62,1184,49,182,1184,CR(제어압연),955,10,1조
PLT_1463,06JAN2023:12:47:39,불량,LR-A,영국,C,18,3400,35300,적용,3호기,2열,1206,72,1184,52,230,1184,CR(제어압연),998,10,1조
PLT_1464,06JAN2023:12:59:00,불량,NV-A,영국,C,18,3400,35300,적용,3호기,2열,1206,72,1184,52,201,1184,CR(제어압연),998,10,1조
PLT_1465,06JAN2023:13:06:24,양품,KR-A,한국,C,20,3300,30900,적용,2호기,2열,1191,62,1174,58,203,1174,CR(제어압연),982,8,1조
PLT_1466,06JAN2023:13:20:54,양품,NV-A,영국,C,20,3300,30900,적용,2호기,2열,1191,62,1174,58,204,1174,CR(제어압연),982,8,1조
PLT_1467,06JAN2023:13:28:41,양품,LR-A,영국,C,22,3800,29900,적용,1호기,1열,1159,64,1155,53,182,1155,CR(제어압연),978,8,1조
PLT_1468,06JAN2023:13:40:03,양품,NV-A,영국,C,22,3700,34800,적용,1호기,2열,1185,56,1173,56,167,1173,CR(제어압연),986,8,1조
